Geography,FIPS,Estimate (Establishments),MoE (Establishments)
"Abbeville County, South Carolina",45001,1,
"Acadia Parish, Louisiana",22001,2,
"Accomack County, Virginia",51001,0,
"Ada County, Idaho",16001,29,
"Adair County, Iowa",19001,0,
"Adair County, Kentucky",21001,1,
"Adair County, Missouri",29001,2,
"Adair County, Oklahoma",40001,0,
"Adams County, Colorado",08001,19,
"Adams County, Idaho",16003,1,
"Adams County, Illinois",17001,2,
"Adams County, Indiana",18001,0,
"Adams County, Iowa",19003,0,
"Adams County, Mississippi",28001,0,
"Adams County, Nebraska",31001,1,
"Adams County, North Dakota",38001,0,
"Adams County, Ohio",39001,2,
"Adams County, Pennsylvania",42001,2,
"Adams County, Washington",53001,0,
"Adams County, Wisconsin",55001,0,
"Addison County, Vermont",50001,3,
"Adjuntas Municipio, Puerto Rico",72001,0,
"Aguada Municipio, Puerto Rico",72003,0,
"Aguadilla Municipio, Puerto Rico",72005,2,
"Aguas Buenas Municipio, Puerto Rico",72007,0,
"Aibonito Municipio, Puerto Rico",72009,0,
"Aiken County, South Carolina",45003,2,
"Aitkin County, Minnesota",27001,0,
"Alachua County, Florida",12001,12,
"Alamance County, North Carolina",37001,2,
"Alameda County, California",06001,37,
"Alamosa County, Colorado",08003,0,
"Albany County, New York",36001,13,
"Albany County, Wyoming",56001,20,
"Albemarle County, Virginia",51003,4,
"Alcona County, Michigan",26001,0,
"Alcorn County, Mississippi",28003,0,
"Alexander County, Illinois",17003,0,
"Alexander County, North Carolina",37003,0,
"Alexandria city, Virginia",51510,7,
"Alfalfa County, Oklahoma",40003,0,
"Alger County, Michigan",26003,0,
"Allamakee County, Iowa",19005,0,
"Allegan County, Michigan",26005,2,
"Allegany County, Maryland",24001,2,
"Allegany County, New York",36003,3,
"Alleghany County, North Carolina",37005,0,
"Alleghany County, Virginia",51005,1,
"Allegheny County, Pennsylvania",42003,22,
"Allen County, Indiana",18003,5,
"Allen County, Kansas",20001,1,
"Allen County, Kentucky",21003,0,
"Allen County, Ohio",39003,3,
"Allen Parish, Louisiana",22003,1,
"Allendale County, South Carolina",45005,0,
"Alpena County, Michigan",26007,0,
"Alpine County, California",06003,0,
"Amador County, California",06005,0,
"Amelia County, Virginia",51007,0,
"Amherst County, Virginia",51009,1,
"Amite County, Mississippi",28005,0,
"Añasco Municipio, Puerto Rico",72011,0,
"Anderson County, Kansas",20003,0,
"Anderson County, Kentucky",21005,2,
"Anderson County, South Carolina",45007,2,
"Anderson County, Tennessee",47001,1,
"Anderson County, Texas",48001,1,
"Andrew County, Missouri",29003,0,
"Andrews County, Texas",48003,0,
"Androscoggin County, Maine",23001,2,
"Angelina County, Texas",48005,0,
"Anne Arundel County, Maryland",24003,12,
"Anoka County, Minnesota",27003,5,
"Anson County, North Carolina",37007,0,
"Antelope County, Nebraska",31003,0,
"Antrim County, Michigan",26009,2,
"Apache County, Arizona",04001,0,
"Appanoose County, Iowa",19007,0,
"Appling County, Georgia",13001,0,
"Appomattox County, Virginia",51011,2,
"Aransas County, Texas",48007,0,
"Arapahoe County, Colorado",08005,38,
"Archer County, Texas",48009,0,
"Archuleta County, Colorado",08007,0,
"Arecibo Municipio, Puerto Rico",72013,4,
"Arenac County, Michigan",26011,0,
"Arkansas County, Arkansas",05001,0,
"Arlington County, Virginia",51013,21,
"Armstrong County, Pennsylvania",42005,1,
"Armstrong County, Texas",48011,0,
"Aroostook County, Maine",23003,0,
"Arroyo Municipio, Puerto Rico",72015,0,
"Arthur County, Nebraska",31005,0,
"Ascension Parish, Louisiana",22005,1,
