Geography,FIPS,Estimate (Establishments),MoE (Establishments)
"Abbeville County, South Carolina",45001,2,
"Acadia Parish, Louisiana",22001,9,
"Accomack County, Virginia",51001,11,
"Ada County, Idaho",16001,175,
"Adair County, Iowa",19001,3,
"Adair County, Kentucky",21001,4,
"Adair County, Missouri",29001,7,
"Adair County, Oklahoma",40001,1,
"Adams County, Colorado",08001,183,
"Adams County, Idaho",16003,5,
"Adams County, Illinois",17001,43,
"Adams County, Indiana",18001,10,
"Adams County, Iowa",19003,1,
"Adams County, Mississippi",28001,15,
"Adams County, Nebraska",31001,15,
"Adams County, North Dakota",38001,2,
"Adams County, Ohio",39001,4,
"Adams County, Pennsylvania",42001,30,
"Adams County, Washington",53001,2,
"Adams County, Wisconsin",55001,20,
"Addison County, Vermont",50001,8,
"Adjuntas Municipio, Puerto Rico",72001,7,
"Aguada Municipio, Puerto Rico",72003,5,
"Aguadilla Municipio, Puerto Rico",72005,11,
"Aguas Buenas Municipio, Puerto Rico",72007,0,
"Aibonito Municipio, Puerto Rico",72009,4,
"Aiken County, South Carolina",45003,26,
"Aitkin County, Minnesota",27001,17,
"Alachua County, Florida",12001,83,
"Alamance County, North Carolina",37001,22,
"Alameda County, California",06001,455,
"Alamosa County, Colorado",08003,10,
"Albany County, New York",36001,137,
"Albany County, Wyoming",56001,25,
"Albemarle County, Virginia",51003,43,
"Alcona County, Michigan",26001,3,
"Alcorn County, Mississippi",28003,10,
"Aleutians East Borough, Alaska",02013,4,
"Aleutians West Census Area, Alaska",02016,3,
"Alexander County, Illinois",17003,4,
"Alexander County, North Carolina",37003,3,
"Alexandria city, Virginia",51510,18,
"Alfalfa County, Oklahoma",40003,0,
"Alger County, Michigan",26003,11,
"Allamakee County, Iowa",19005,7,
"Allegan County, Michigan",26005,44,
"Allegany County, Maryland",24001,39,
"Allegany County, New York",36003,17,
"Alleghany County, North Carolina",37005,2,
"Alleghany County, Virginia",51005,2,
"Allegheny County, Pennsylvania",42003,585,
"Allen County, Indiana",18003,135,
"Allen County, Kansas",20001,3,
"Allen County, Kentucky",21003,1,
"Allen County, Ohio",39003,29,
"Allen Parish, Louisiana",22003,1,
"Allendale County, South Carolina",45005,2,
"Alpena County, Michigan",26007,19,
"Alpine County, California",06003,0,
"Amador County, California",06005,47,
"Amelia County, Virginia",51007,0,
"Amherst County, Virginia",51009,5,
"Amite County, Mississippi",28005,3,
"Añasco Municipio, Puerto Rico",72011,3,
"Anderson County, Kansas",20003,3,
"Anderson County, Kentucky",21005,4,
"Anderson County, South Carolina",45007,42,
"Anderson County, Tennessee",47001,12,
"Anderson County, Texas",48001,8,
"Andrew County, Missouri",29003,0,
"Andrews County, Texas",48003,1,
"Androscoggin County, Maine",23001,28,
"Angelina County, Texas",48005,6,
"Anne Arundel County, Maryland",24003,189,
"Anoka County, Minnesota",27003,91,
"Anson County, North Carolina",37007,2,
"Antelope County, Nebraska",31003,1,
"Antrim County, Michigan",26009,13,
"Apache County, Arizona",04001,8,
"Appanoose County, Iowa",19007,0,
"Appling County, Georgia",13001,5,
"Appomattox County, Virginia",51011,1,
"Aransas County, Texas",48007,12,
"Arapahoe County, Colorado",08005,260,
"Archer County, Texas",48009,1,
"Archuleta County, Colorado",08007,23,
"Arecibo Municipio, Puerto Rico",72013,10,
"Arenac County, Michigan",26011,9,
"Arkansas County, Arkansas",05001,12,
"Arlington County, Virginia",51013,15,
"Armstrong County, Pennsylvania",42005,31,
"Armstrong County, Texas",48011,0,
"Aroostook County, Maine",23003,9,
"Arroyo Municipio, Puerto Rico",72015,0,
"Arthur County, Nebraska",31005,0,
"Ascension Parish, Louisiana",22005,31,
"Ashe County, North Carolina",37009,5,
"Ashland County, Ohio",39005,14,
"Ashland County, Wisconsin",55003,21,
"Ashley County, Arkansas",05003,0,
"Ashtabula County, Ohio",39007,54,
"Asotin County, Washington",53003,4,
"Assumption Parish, Louisiana",22007,2,
"Atascosa County, Texas",48013,8,
"Atchison County, Kansas",20005,5,
"Atchison County, Missouri",29005,0,
"Athens County, Ohio",39009,28,
"Atkinson County, Georgia",13003,2,
"Atlantic County, New Jersey",34001,119,
"Atoka County, Oklahoma",40005,1,
"Attala County, Mississippi",28007,3,
"Audrain County, Missouri",29007,4,
"Audubon County, Iowa",19009,1,
"Auglaize County, Ohio",39011,15,
"Augusta County, Virginia",51015,8,
"Aurora County, South Dakota",46003,1,
"Austin County, Texas",48015,9,
"Autauga County, Alabama",01001,5,
"Avery County, North Carolina",37011,11,
"Avoyelles Parish, Louisiana",22009,8,
"Baca County, Colorado",08009,1,
"Bacon County, Georgia",13005,,
"Bailey County, Texas",48017,2,
"Baker County, Florida",12003,,
"Baker County, Georgia",13007,1,
"Baker County, Oregon",41001,12,
"Baldwin County, Alabama",01003,78,
"Baldwin County, Georgia",13009,15,
"Ballard County, Kentucky",21007,1,
"Baltimore city, Maryland",24510,357,
"Baltimore County, Maryland",24005,344,
"Bamberg County, South Carolina",45009,2,
"Bandera County, Texas",48019,9,
"Banks County, Georgia",13011,1,
"Banner County, Nebraska",31007,0,
"Bannock County, Idaho",16005,41,
"Baraga County, Michigan",26013,3,
"Barber County, Kansas",20007,3,
"Barbour County, Alabama",01005,3,
"Barbour County, West Virginia",54001,2,
"Barceloneta Municipio, Puerto Rico",72017,1,
"Barnes County, North Dakota",38003,12,
"Barnstable County, Massachusetts",25001,157,
"Barnwell County, South Carolina",45011,1,
"Barranquitas Municipio, Puerto Rico",72019,9,
"Barren County, Kentucky",21009,14,
"Barron County, Wisconsin",55005,52,
"Barrow County, Georgia",13013,12,
"Barry County, Michigan",26015,16,
"Barry County, Missouri",29009,2,
"Bartholomew County, Indiana",18005,17,
"Barton County, Kansas",20009,7,
"Barton County, Missouri",29011,1,
"Bartow County, Georgia",13015,15,
"Bastrop County, Texas",48021,14,
"Bates County, Missouri",29013,4,
"Bath County, Kentucky",21011,2,
"Bath County, Virginia",51017,2,
"Baxter County, Arkansas",05005,21,
"Bay County, Florida",12005,102,
"Bay County, Michigan",26017,59,
"Bayamón Municipio, Puerto Rico",72021,21,
"Bayfield County, Wisconsin",55007,34,
"Baylor County, Texas",48023,2,
"Beadle County, South Dakota",46005,13,
"Bear Lake County, Idaho",16007,3,
"Beaufort County, North Carolina",37013,3,
"Beaufort County, South Carolina",45013,80,
"Beauregard Parish, Louisiana",22011,2,
"Beaver County, Oklahoma",40007,1,
"Beaver County, Pennsylvania",42007,78,
"Beaver County, Utah",49001,2,
"Beaverhead County, Montana",30001,19,
"Becker County, Minnesota",27005,25,
"Beckham County, Oklahoma",40009,8,
"Bedford County, Pennsylvania",42009,14,
"Bedford County, Tennessee",47003,6,
"Bedford County, Virginia",51019,6,
"Bee County, Texas",48025,8,
"Belknap County, New Hampshire",33001,14,
"Bell County, Kentucky",21013,5,
"Bell County, Texas",48027,74,
"Belmont County, Ohio",39013,20,
"Beltrami County, Minnesota",27007,31,
"Ben Hill County, Georgia",13017,2,
"Benewah County, Idaho",16009,7,
"Bennett County, South Dakota",46007,2,
"Bennington County, Vermont",50003,8,
"Benson County, North Dakota",38005,7,
"Bent County, Colorado",08011,1,
"Benton County, Arkansas",05007,63,
"Benton County, Indiana",18007,4,
"Benton County, Iowa",19011,11,
"Benton County, Minnesota",27009,24,
